market,sportsbook,league,wins,losses,profit,roi_pct,est_user_bpd
Puck Line,Bally,NHL,2.0,1.0,5.45,22.72,1.0
Moneyline,Bally,NHL,24.0,21.0,28.06,7.8,1.0
Team Total Goals,Bally,NHL,3.0,3.0,-2.33,-4.86,1.0
Total,Bet365,NHL,5.0,10.0,-39.77,-33.14,1.0
Puck Line,Bet365,NHL,9.0,7.0,19.68,15.37,1.0
Moneyline,Bet365,NHL,5.0,2.0,20.08,35.86,1.0
Total Saves,Betcris,NHL,17.0,16.0,7.59,2.87,1.0
Total Saves,BookMaker,NHL,17.0,16.0,7.59,2.87,1.0
Total,Betcris,NHL,8.0,11.0,-19.79,-13.02,1.0
Total,BookMaker,NHL,8.0,11.0,-19.79,-13.02,1.0
Puck Line,Betcris,NHL,12.0,9.0,4.29,2.55,1.0
Puck Line,BookMaker,NHL,12.0,9.0,4.29,2.55,1.0
Moneyline,Betcris,NHL,88.0,83.0,-103.86,-7.59,1.0
Moneyline,BookMaker,NHL,88.0,83.0,-103.86,-7.59,1.0
Total Points,Betcris,NHL,68.0,74.0,2.79,0.25,1.0
Total Points,BookMaker,NHL,68.0,74.0,2.79,0.25,1.0
Total Saves,BetMGM,NHL,29.0,24.0,20.37,4.8,1.0
Total Saves,Borgata,NHL,29.0,24.0,20.37,4.8,1.0
Total Saves,SportsInteraction,NHL,29.0,24.0,20.37,4.8,1.0
Total Assists,BetMGM,NHL,100.0,83.0,189.45,12.94,1.0
Total Assists,Borgata,NHL,100.0,83.0,189.45,12.94,1.0
Total Assists,SportsInteraction,NHL,100.0,83.0,189.45,12.94,1.0
Total,BetMGM,NHL,4.0,8.0,-33.37,-34.76,1.0
Total,Borgata,NHL,4.0,8.0,-33.37,-34.76,1.0
Total,SportsInteraction,NHL,4.0,8.0,-33.37,-34.76,1.0
Puck Line,BetMGM,NHL,27.0,9.0,65.36,22.69,1.0
Puck Line,Borgata,NHL,27.0,9.0,65.36,22.69,1.0
Puck Line,SportsInteraction,NHL,27.0,9.0,65.36,22.69,1.0
Total Saves,BetOnline,NHL,5.0,12.0,-54.4,-40.0,1.0
Total Assists,BetOnline,NHL,78.0,129.0,132.83,8.02,1.0
Total Points,BetOnline,NHL,112.0,90.0,191.86,11.87,1.0
Total,Unibet,NHL,22.0,20.0,7.69,2.29,1.0
Total,BetParx,NHL,22.0,20.0,7.69,2.29,1.0
Total,NorthStarBetsON,NHL,22.0,20.0,7.69,2.29,1.0
Puck Line,Unibet,NHL,4.0,2.0,11.21,23.35,1.0
Puck Line,BetParx,NHL,4.0,2.0,11.21,23.35,1.0
Puck Line,NorthStarBetsON,NHL,4.0,2.0,11.21,23.35,1.0
Moneyline,Unibet,NHL,60.0,52.0,5.31,0.59,1.0
Moneyline,BetParx,NHL,60.0,52.0,5.31,0.59,1.0
Moneyline,NorthStarBetsON,NHL,60.0,52.0,5.31,0.59,1.0
Team Total Goals,Unibet,NHL,3.0,3.0,-2.33,-4.86,1.0
Team Total Goals,BetParx,NHL,3.0,3.0,-2.33,-4.86,1.0
Team Total Goals,NorthStarBetsON,NHL,3.0,3.0,-2.33,-4.86,1.0
Total Saves,Betr,NHL,0.0,1.0,-8.0,-100.0,1.0
Total Assists,Betr,NHL,13.0,5.0,45.25,31.42,1.0
Total Points,Betr,NHL,68.0,53.0,21.9,2.26,1.0
Total Shots on Goal,Betr,NHL,84.0,56.0,102.82,9.18,1.0
Total,BetRivers,NHL,22.0,20.0,7.69,2.29,1.0
Total,SugarHouse,NHL,22.0,20.0,7.69,2.29,1.0
Puck Line,BetRivers,NHL,4.0,2.0,11.21,23.35,1.0
Puck Line,SugarHouse,NHL,4.0,2.0,11.21,23.35,1.0
Moneyline,BetRivers,NHL,60.0,52.0,5.31,0.59,1.0
Moneyline,SugarHouse,NHL,60.0,52.0,5.31,0.59,1.0
Team Total Goals,BetRivers,NHL,3.0,3.0,-2.33,-4.86,1.0
Team Total Goals,SugarHouse,NHL,3.0,3.0,-2.33,-4.86,1.0
Total Saves,Bovada,NHL,4.0,4.0,-3.54,-5.53,1.0
Total,Bovada,NHL,0.0,2.0,-16.0,-100.0,1.0
Puck Line,Bovada,NHL,3.0,9.0,-45.68,-47.58,1.0
Moneyline,Bovada,NHL,1.0,8.0,-53.36,-74.11,1.0
Total Shots on Goal,Bovada,NHL,50.0,54.0,-4.58,-0.55,1.0
Total Saves,Caesars,NHL,12.0,5.0,45.4,33.38,1.0
Total Assists,Caesars,NHL,29.0,29.0,-4.21,-0.91,1.0
Total,Caesars,NHL,4.0,5.0,-7.82,-10.87,1.0
Puck Line,Caesars,NHL,6.0,4.0,19.27,24.09,1.0
Moneyline,Caesars,NHL,4.0,4.0,-14.63,-22.87,1.0
Total Points,Caesars,NHL,37.0,33.0,-11.8,-2.11,1.0
Team Total Goals,Caesars,NHL,0.0,1.0,-8.0,-100.0,1.0
Total Shots on Goal,Caesars,NHL,117.0,119.0,-115.17,-6.1,1.0
Total,Circa,NHL,2.0,2.0,2.0,6.25,1.0
Puck Line,Circa,NHL,3.0,3.0,0.06,0.12,1.0
Moneyline,Circa,NHL,1.0,1.0,-0.86,-5.36,1.0
Total Points,Circa,NHL,29.0,26.0,14.11,3.21,1.0
Total Shots on Goal,Circa,NHL,28.0,32.0,6.15,1.28,1.0
Total,CoolBet,NHL,26.0,23.0,76.63,19.55,1.0
Puck Line,CoolBet,NHL,5.0,10.0,-28.84,-24.03,1.0
Moneyline,CoolBet,NHL,7.0,4.0,13.91,15.81,1.0
Total Points,CoolBet,NHL,140.0,113.0,170.45,8.42,1.0
Total Shots on Goal,CoolBet,NHL,113.0,121.0,74.68,3.99,1.0
Total Saves,Dabble,NHL,0.0,1.0,-8.0,-100.0,1.0
Total Assists,Dabble,NHL,4.0,0.0,26.23,81.97,1.0
Total Points,Dabble,NHL,3.0,1.0,9.77,30.52,1.0
Total Shots on Goal,Dabble,NHL,3.0,9.0,-52.82,-55.03,1.0
Total Saves,DraftKings,NHL,8.0,15.0,-59.56,-32.37,1.0
Total Assists,DraftKings,NHL,32.0,35.0,-53.52,-9.99,1.0
Total,DraftKings,NHL,3.0,7.0,-31.66,-39.57,1.0
Puck Line,DraftKings,NHL,17.0,11.0,87.81,39.2,1.0
Moneyline,DraftKings,NHL,4.0,2.0,2.72,5.67,1.0
Total Points,DraftKings,NHL,104.0,85.0,116.62,7.71,1.0
Total Shots on Goal,DraftKings,NHL,147.0,117.0,153.88,7.29,1.0
Total Saves,Fanatics,NHL,2.0,0.0,14.76,92.23,1.0
Total Assists,Fanatics,NHL,22.0,15.0,92.89,31.38,1.0
Total,Fanatics,NHL,7.0,5.0,17.36,18.08,1.0
Puck Line,Fanatics,NHL,8.0,8.0,6.92,5.4,1.0
Moneyline,Fanatics,NHL,13.0,8.0,31.13,18.53,1.0
Team Total Goals,Fanatics,NHL,2.0,1.0,5.11,21.29,1.0
Total Shots on Goal,Fanatics,NHL,82.0,90.0,18.02,1.31,1.0
Total Saves,FanDuel,NHL,29.0,28.0,1.1,0.24,1.0
Total Assists,FanDuel,NHL,2.0,4.0,-25.84,-53.83,1.0
Total,FanDuel,NHL,5.0,4.0,12.35,17.15,1.0
Puck Line,FanDuel,NHL,5.0,10.0,-36.03,-30.02,1.0
Moneyline,FanDuel,NHL,2.0,5.0,-22.08,-39.43,1.0
Team Total Goals,FanDuel,NHL,1.0,3.0,-12.94,-40.44,1.0
Total Saves,Fliff,NHL,5.0,1.0,27.2,56.68,1.0
Total Assists,Fliff,NHL,13.0,5.0,20.0,13.89,1.0
Puck Line,Fliff,NHL,1.0,3.0,-16.0,-50.0,1.0
Moneyline,Fliff,NHL,1.0,0.0,3.81,47.62,1.0
Total Points,Fliff,NHL,14.0,23.0,-78.55,-26.54,1.0
Total Shots on Goal,Fliff,NHL,28.0,19.0,74.31,19.76,1.0
Total Saves,HardRockNJ,NHL,25.0,23.0,-5.42,-1.41,1.0
Total Assists,HardRockNJ,NHL,108.0,92.0,149.27,9.33,1.0
Total,HardRockNJ,NHL,3.0,1.0,16.16,50.49,1.0
Puck Line,HardRockNJ,NHL,11.0,7.0,27.61,19.17,1.0
Moneyline,HardRockNJ,NHL,4.0,7.0,-31.8,-36.14,1.0
Team Total Goals,HardRockNJ,NHL,6.0,6.0,0.06,0.06,1.0
Total Saves,HardRock,NHL,27.0,24.0,1.13,0.28,1.0
Total Assists,HardRock,NHL,115.0,100.0,162.61,9.45,1.0
Total,HardRock,NHL,3.0,1.0,16.16,50.49,1.0
Puck Line,HardRock,NHL,11.0,7.0,27.61,19.17,1.0
Moneyline,HardRock,NHL,4.0,7.0,-31.8,-36.14,1.0
Team Total Goals,HardRock,NHL,6.0,6.0,0.06,0.06,1.0
Puck Line,Kalshi,NHL,1.0,0.0,5.58,69.73,1.0
Moneyline,Kalshi,NHL,3.0,2.0,-1.39,-3.47,1.0
Total Saves,NoVig,NHL,39.0,33.0,83.5,14.5,1.0
Total,NoVig,NHL,33.0,34.0,1.25,0.23,1.0
Puck Line,NoVig,NHL,31.0,30.0,-19.39,-3.97,1.0
Moneyline,NoVig,NHL,63.0,63.0,-36.12,-3.58,1.0
Team Total Goals,NoVig,NHL,16.0,13.0,35.25,15.19,1.0
Total Saves,OnyxOdds,NHL,9.0,11.0,-16.88,-10.55,1.0
Total Assists,OnyxOdds,NHL,53.0,56.0,-48.34,-5.54,1.0
Total,OnyxOdds,NHL,3.0,5.0,-15.66,-24.46,1.0
Puck Line,OnyxOdds,NHL,16.0,11.0,70.37,32.58,1.0
Moneyline,OnyxOdds,NHL,3.0,2.0,-2.47,-6.18,1.0
Total Points,OnyxOdds,NHL,131.0,121.0,77.67,3.85,1.0
Total Shots on Goal,OnyxOdds,NHL,122.0,116.0,137.18,7.2,1.0
Total Points,Pick6,NHL,1.0,1.0,-2.07,-12.96,1.0
Total Shots on Goal,Pick6,NHL,1.0,1.0,-2.07,-12.96,1.0
Total Player Goals,Pick6,NHL,1.0,0.0,10.08,126.0,1.0
Total Saves,Pinnacle,NHL,10.0,12.0,-8.62,-4.9,1.0
Total Assists,Pinnacle,NHL,2.0,2.0,27.04,84.5,1.0
Total,Pinnacle,NHL,14.0,10.0,30.94,16.11,1.0
Puck Line,Pinnacle,NHL,5.0,11.0,-40.4,-31.57,1.0
Moneyline,Pinnacle,NHL,8.0,7.0,2.78,2.31,1.0
Total Points,Pinnacle,NHL,25.0,20.0,76.61,21.28,1.0
Team Total Goals,Pinnacle,NHL,4.0,6.0,-19.44,-24.3,1.0
Total Shots on Goal,Pinnacle,NHL,36.0,33.0,132.09,23.93,1.0
Total,PointsBet,NHL,9.0,5.0,37.38,33.37,1.0
Puck Line,PointsBet,NHL,14.0,12.0,-4.5,-2.16,1.0
Moneyline,PointsBet,NHL,23.0,24.0,36.31,9.66,1.0
Total Shots on Goal,PointsBet,NHL,43.0,48.0,-27.27,-3.75,1.0
Total,Polymarket,NHL,11.0,14.0,-20.13,-10.06,1.0
Puck Line,Polymarket,NHL,8.0,7.0,9.77,8.14,1.0
Moneyline,Polymarket,NHL,33.0,27.0,46.6,9.71,1.0
Total Saves,PrizePicks,NHL,1.0,2.0,-9.44,-39.34,1.0
Total Assists,PrizePicks,NHL,13.0,6.0,37.25,24.5,1.0
Total Points,PrizePicks,NHL,23.0,10.0,70.82,26.83,1.0
Total Shots on Goal,PrizePicks,NHL,74.0,52.0,69.25,6.87,1.0
Total Player Goals,PrizePicks,NHL,2.0,3.0,-10.89,-27.21,1.0
Total Saves,ProphetX,NHL,47.0,33.0,149.89,23.42,1.0
Total Assists,ProphetX,NHL,16.0,14.0,45.59,19.0,1.0
Total,ProphetX,NHL,62.0,72.0,-54.39,-5.07,1.0
Puck Line,ProphetX,NHL,40.0,49.0,17.18,2.41,1.0
Moneyline,ProphetX,NHL,73.0,69.0,-33.92,-2.99,1.0
Total Points,ProphetX,NHL,46.0,43.0,25.65,3.6,1.0
Total Saves,Rebet,NHL,0.0,1.0,-8.0,-100.0,1.0
Total Assists,Rebet,NHL,23.0,29.0,123.79,29.76,1.0
Total,Rebet,NHL,0.0,3.0,-24.0,-100.0,1.0
Puck Line,Rebet,NHL,2.0,4.0,-15.82,-32.96,1.0
Moneyline,Rebet,NHL,0.0,2.0,-16.0,-100.0,1.0
Total Points,Rebet,NHL,31.0,18.0,54.07,13.79,1.0
Total Shots on Goal,Rebet,NHL,36.0,23.0,63.43,13.44,1.0
Total Saves,Sleeper,NHL,2.0,2.0,0.96,3.0,1.0
Total Assists,Sleeper,NHL,1.0,0.0,8.32,104.0,1.0
Total Points,Sleeper,NHL,0.0,1.0,-8.0,-100.0,1.0
Total Shots on Goal,Sleeper,NHL,2.0,5.0,-23.4,-41.79,1.0
Total,STNSports,NHL,5.0,14.0,-73.96,-48.66,1.0
Puck Line,STNSports,NHL,28.0,24.0,55.95,13.45,1.0
Moneyline,STNSports,NHL,23.0,33.0,-89.63,-20.01,1.0
Total Saves,TheScore,NHL,17.0,13.0,22.99,9.58,1.0
Total Assists,TheScore,NHL,87.0,82.0,15.77,1.17,1.0
Total,TheScore,NHL,8.0,7.0,14.8,12.33,1.0
Puck Line,TheScore,NHL,4.0,4.0,-5.23,-8.17,1.0
Moneyline,TheScore,NHL,3.0,6.0,-19.91,-27.65,1.0
Team Total Goals,TheScore,NHL,72.0,65.0,38.48,3.51,1.0
Total Saves,Underdog,NHL,3.0,4.0,-12.33,-22.01,1.0
Total Assists,Underdog,NHL,4.0,3.0,14.63,26.13,1.0
Total Points,Underdog,NHL,11.0,8.0,5.26,3.46,1.0
Total Shots on Goal,Underdog,NHL,19.0,14.0,14.51,5.5,1.0
Total Player Goals,Underdog,NHL,1.0,2.0,-9.44,-39.34,1.0
Moneyline,Bally,WNBA,0.0,1.0,-8.0,-100.0,1.0
Points + Rebounds + Assists,Bally,WNBA,0.0,2.0,-16.0,-100.0,1.0
Assists,Bally,WNBA,18.0,18.0,-0.99,-0.34,1.0
Rebounds,Bally,WNBA,19.0,26.0,-81.51,-22.64,1.0
3-Pointers,Bally,WNBA,21.0,23.0,18.34,5.21,1.0
Points,Bally,WNBA,26.0,16.0,57.05,16.98,1.0
Moneyline,BetMGM,WNBA,1.0,1.0,-1.45,-9.07,1.0
Moneyline,Borgata,WNBA,1.0,1.0,-1.45,-9.07,1.0
Moneyline,SportsInteraction,WNBA,1.0,1.0,-1.45,-9.07,1.0
Assists,BetMGM,WNBA,88.0,81.0,58.47,4.32,1.0
Assists,Borgata,WNBA,88.0,81.0,58.47,4.32,1.0
Assists,SportsInteraction,WNBA,88.0,81.0,58.47,4.32,1.0
Rebounds,BetMGM,WNBA,74.0,46.0,200.06,20.84,1.0
Rebounds,Borgata,WNBA,74.0,46.0,200.06,20.84,1.0
Rebounds,SportsInteraction,WNBA,74.0,46.0,200.06,20.84,1.0
3-Pointers,BetMGM,WNBA,79.0,63.0,122.61,10.79,1.0
3-Pointers,Borgata,WNBA,79.0,63.0,122.61,10.79,1.0
3-Pointers,SportsInteraction,WNBA,79.0,63.0,122.61,10.79,1.0
Points,BetMGM,WNBA,110.0,88.0,131.3,8.29,1.0
Points,Borgata,WNBA,110.0,88.0,131.3,8.29,1.0
Points,SportsInteraction,WNBA,110.0,88.0,131.3,8.29,1.0
Points + Rebounds + Assists,BetOnline,WNBA,21.0,23.0,-13.13,-3.73,1.0
Assists,BetOnline,WNBA,3.0,4.0,-2.08,-3.71,1.0
Rebounds,BetOnline,WNBA,9.0,9.0,5.95,4.13,1.0
3-Pointers,BetOnline,WNBA,22.0,18.0,6.29,1.97,1.0
Points,BetOnline,WNBA,30.0,25.0,55.44,12.6,1.0
Moneyline,Unibet,WNBA,0.0,1.0,-8.0,-100.0,1.0
Moneyline,BetParx,WNBA,0.0,1.0,-8.0,-100.0,1.0
Moneyline,NorthStarBetsON,WNBA,0.0,1.0,-8.0,-100.0,1.0
Points + Rebounds + Assists,Unibet,WNBA,70.0,84.0,-161.52,-13.11,1.0
Points + Rebounds + Assists,BetParx,WNBA,70.0,84.0,-161.52,-13.11,1.0
Points + Rebounds + Assists,NorthStarBetsON,WNBA,70.0,84.0,-161.52,-13.11,1.0
Assists,Unibet,WNBA,88.0,74.0,60.3,4.65,1.0
Assists,BetParx,WNBA,88.0,74.0,60.3,4.65,1.0
Assists,NorthStarBetsON,WNBA,88.0,74.0,60.3,4.65,1.0
Rebounds,Unibet,WNBA,129.0,121.0,-41.02,-2.05,1.0
Rebounds,BetParx,WNBA,129.0,121.0,-41.02,-2.05,1.0
Rebounds,NorthStarBetsON,WNBA,129.0,121.0,-41.02,-2.05,1.0
3-Pointers,Unibet,WNBA,63.0,63.0,-3.07,-0.3,1.0
3-Pointers,BetParx,WNBA,63.0,63.0,-3.07,-0.3,1.0
3-Pointers,NorthStarBetsON,WNBA,63.0,63.0,-3.07,-0.3,1.0
Points,Unibet,WNBA,141.0,97.0,187.03,9.82,1.0
Points,BetParx,WNBA,141.0,97.0,187.03,9.82,1.0
Points,NorthStarBetsON,WNBA,141.0,97.0,187.03,9.82,1.0
Moneyline,BetRivers,WNBA,0.0,1.0,-8.0,-100.0,1.0
Moneyline,SugarHouse,WNBA,0.0,1.0,-8.0,-100.0,1.0
Points + Rebounds + Assists,BetRivers,WNBA,67.0,80.0,-151.47,-12.88,1.0
Points + Rebounds + Assists,SugarHouse,WNBA,67.0,80.0,-151.47,-12.88,1.0
Assists,BetRivers,WNBA,83.0,71.0,42.99,3.49,1.0
Assists,SugarHouse,WNBA,83.0,71.0,42.99,3.49,1.0
Rebounds,BetRivers,WNBA,120.0,114.0,-54.76,-2.93,1.0
Rebounds,SugarHouse,WNBA,120.0,114.0,-54.76,-2.93,1.0
3-Pointers,BetRivers,WNBA,60.0,60.0,-5.89,-0.61,1.0
3-Pointers,SugarHouse,WNBA,60.0,60.0,-5.89,-0.61,1.0
Points,BetRivers,WNBA,133.0,87.0,226.73,12.88,1.0
Points,SugarHouse,WNBA,133.0,87.0,226.73,12.88,1.0
Assists,Bovada,WNBA,33.0,37.0,-28.35,-5.06,1.0
Rebounds,Bovada,WNBA,40.0,47.0,-77.46,-11.13,1.0
3-Pointers,Bovada,WNBA,12.0,18.0,-42.6,-17.75,1.0
Points,Bovada,WNBA,72.0,58.0,113.18,10.88,1.0
Assists,Caesars,WNBA,84.0,86.0,-25.18,-1.85,1.0
Rebounds,Caesars,WNBA,100.0,109.0,-70.77,-4.23,1.0
3-Pointers,Caesars,WNBA,2.0,0.0,21.26,132.89,1.0
Points,Caesars,WNBA,54.0,48.0,49.39,6.05,1.0
Moneyline,Circa,WNBA,0.0,1.0,-8.0,-100.0,1.0
Assists,Circa,WNBA,27.0,33.0,-47.99,-10.0,1.0
Rebounds,Circa,WNBA,35.0,35.0,-8.88,-1.59,1.0
Points,Circa,WNBA,91.0,76.0,158.8,11.89,1.0
Assists,CoolBet,WNBA,30.0,27.0,-2.12,-0.47,1.0
Rebounds,CoolBet,WNBA,30.0,34.0,-60.67,-11.85,1.0
3-Pointers,CoolBet,WNBA,13.0,18.0,-49.25,-19.86,1.0
Points,CoolBet,WNBA,39.0,39.0,-31.28,-5.01,1.0
Moneyline,DraftKings,WNBA,1.0,0.0,6.9,86.28,1.0
Points + Rebounds + Assists,DraftKings,WNBA,4.0,5.0,-7.98,-11.08,1.0
Assists,DraftKings,WNBA,52.0,97.0,-189.74,-15.92,1.0
Rebounds,DraftKings,WNBA,91.0,135.0,-96.34,-5.33,1.0
3-Pointers,DraftKings,WNBA,30.0,23.0,44.75,10.55,1.0
Points,DraftKings,WNBA,78.0,118.0,-230.43,-14.7,1.0
Assists,Fanatics,WNBA,34.0,42.0,-83.64,-13.76,1.0
Rebounds,Fanatics,WNBA,57.0,37.0,163.6,21.76,1.0
3-Pointers,Fanatics,WNBA,28.0,26.0,26.62,6.16,1.0
Points,Fanatics,WNBA,52.0,45.0,49.45,6.37,1.0
Points + Rebounds + Assists,FanDuel,WNBA,7.0,2.0,34.78,48.31,1.0
Assists,FanDuel,WNBA,116.0,150.0,-274.1,-12.88,1.0
Rebounds,FanDuel,WNBA,163.0,182.0,-178.29,-6.46,1.0
3-Pointers,FanDuel,WNBA,34.0,29.0,98.4,19.52,1.0
Points,FanDuel,WNBA,103.0,99.0,68.6,4.24,1.0
Assists,Fliff,WNBA,30.0,32.0,-32.64,-6.58,1.0
Rebounds,Fliff,WNBA,57.0,41.0,61.77,7.88,1.0
3-Pointers,Fliff,WNBA,29.0,53.0,-129.75,-19.78,1.0
Points,Fliff,WNBA,36.0,32.0,-25.35,-4.66,1.0
Moneyline,HardRockNJ,WNBA,0.0,1.0,-8.0,-100.0,1.0
Points + Rebounds + Assists,HardRockNJ,WNBA,37.0,55.0,-170.07,-23.11,1.0
Assists,HardRockNJ,WNBA,38.0,40.0,-68.97,-11.05,1.0
Rebounds,HardRockNJ,WNBA,66.0,61.0,-54.8,-5.39,1.0
3-Pointers,HardRockNJ,WNBA,24.0,26.0,-35.9,-8.97,1.0
Points,HardRockNJ,WNBA,105.0,69.0,229.85,16.51,1.0
Moneyline,HardRock,WNBA,0.0,1.0,-8.0,-100.0,1.0
Points + Rebounds + Assists,HardRock,WNBA,37.0,55.0,-170.07,-23.11,1.0
Assists,HardRock,WNBA,38.0,40.0,-68.97,-11.05,1.0
Rebounds,HardRock,WNBA,66.0,61.0,-54.8,-5.39,1.0
3-Pointers,HardRock,WNBA,24.0,26.0,-35.9,-8.97,1.0
Points,HardRock,WNBA,105.0,69.0,229.85,16.51,1.0
Total,NoVig,WNBA,1.0,1.0,0.64,4.0,1.0
Moneyline,OnyxOdds,WNBA,1.0,1.0,-0.98,-6.13,1.0
Points + Rebounds + Assists,OnyxOdds,WNBA,2.0,1.0,7.52,31.32,1.0
Assists,OnyxOdds,WNBA,40.0,39.0,10.98,1.74,1.0
Rebounds,OnyxOdds,WNBA,70.0,77.0,-120.11,-10.21,1.0
3-Pointers,OnyxOdds,WNBA,32.0,18.0,120.82,30.21,1.0
Points,OnyxOdds,WNBA,61.0,72.0,-118.77,-11.16,1.0
Moneyline,Pinnacle,WNBA,1.0,0.0,6.45,80.65,1.0
Assists,Pinnacle,WNBA,59.0,54.0,34.87,3.86,1.0
Rebounds,Pinnacle,WNBA,65.0,54.0,65.66,6.9,1.0
3-Pointers,Pinnacle,WNBA,25.0,34.0,-95.49,-20.23,1.0
Points,Pinnacle,WNBA,86.0,76.0,58.67,4.53,1.0
Moneyline,PointsBet,WNBA,1.0,0.0,7.38,92.26,1.0
Points,PointsBet,WNBA,5.0,8.0,-25.98,-24.98,1.0
Moneyline,ProphetX,WNBA,1.0,1.0,-1.82,-11.4,1.0
Assists,ProphetX,WNBA,68.0,90.0,-119.77,-9.48,1.0
Rebounds,ProphetX,WNBA,169.0,159.0,203.44,7.75,1.0
Point Spread,ProphetX,WNBA,1.0,0.0,8.48,106.0,1.0
Moneyline,Rebet,WNBA,1.0,0.0,7.41,92.59,1.0
Assists,Rebet,WNBA,14.0,18.0,-38.67,-15.11,1.0
Rebounds,Rebet,WNBA,21.0,18.0,-6.29,-2.02,1.0
3-Pointers,Rebet,WNBA,13.0,12.0,-0.47,-0.23,1.0
Points,Rebet,WNBA,8.0,7.0,-1.02,-0.85,1.0
Moneyline,STNSports,WNBA,0.0,2.0,-16.0,-100.0,1.0
Assists,STNSports,WNBA,36.0,36.0,-25.99,-4.51,1.0
Rebounds,STNSports,WNBA,52.0,51.0,2.06,0.25,1.0
3-Pointers,STNSports,WNBA,30.0,30.0,-12.7,-2.65,1.0
Points,STNSports,WNBA,53.0,52.0,-31.51,-3.75,1.0
Moneyline,TheScore,WNBA,1.0,1.0,-1.09,-6.83,1.0
Assists,TheScore,WNBA,140.0,182.0,-123.57,-4.8,1.0
3-Pointers,TheScore,WNBA,150.0,165.0,-22.73,-0.9,1.0
Points,TheScore,WNBA,93.0,61.0,184.89,15.01,1.0
